Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
344090,Momotombo,Stratovolcano,2016,Nicaragua,MŽxico and Central America,Nicaragua,12.423,-86.539,1270,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,100,1851,98583,3569021
221101,Nabro,Stratovolcano,2012,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.37,41.7,2218,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Trachyte / Trachydacite,Rhyolite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,24,145,2713,26881
353050,"Negra, Sierra",Shield,2018,Ecuador,South America,Galapagos Islands,-0.83,-91.17,1124,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,408,408,983,9884
344070,"Negro, Cerro",Pyroclastic cone(s),1999,Nicaragua,MŽxico and Central America,Nicaragua,12.506,-86.702,728,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1690,10243,296320,3540933
223020,Nyamulagira,Shield,2021,DR Congo,Africa and Red Sea,Africa (central),-1.408,29.2,3058,Rift zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,3751,27027,711356,8333476
223030,Nyiragongo,Stratovolcano,2021,DR Congo,Africa and Red Sea,Africa (central),-1.52,29.25,3470,Rift zone / Continental crust (>25 km),Eruption Observed,Foidite,Ê,Ê,Ê,Ê,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,2416,31145,1006436,9087529
311290,Okmok,Shield,2008,United States,Alaska,Aleutian Islands,53.43,-168.13,1073,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Dacite,Trachyte / Trachydacite,Rhyolite,Ê,Ê,0,0,0,4
283040,Ontakesan,Complex,2014,Japan,"Japan, Taiwan, Marianas",Honshu,35.893,137.48,3067,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,176,2098,86634,8307889
342110,Pacaya,Complex,2021,Guatemala,MŽxico and Central America,Guatemala,14.382,-90.601,2569,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Dacite,Rhyolite,Andesite / Basaltic Andesite,Ê,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Ê,4250,53579,2454482,7033094
284170,Pagan,Stratovolcano(es),2012,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.13,145.8,570,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,0
264150,Paluweh,Stratovolcano,2013,Indonesia,Indonesia,Lesser Sunda Islands,-8.32,121.708,875,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,446,446,5284,548803
263100,Papandayan,Stratovolcano(es),2002,Indonesia,Indonesia,Java,-7.32,107.73,2665,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,6835,163468,1637971,19312972
312030,Pavlof,Stratovolcano,2016,United States,Alaska,Alaska Peninsula,55.417,-161.894,2493,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,3002
273083,Pinatubo,Stratovolcano,1993,Philippines,Philippines and SE Asia,Luzon,15.13,120.35,1486,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Ê,Ê,Ê,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,725,3808,1148684,21875048
357040,Planchon-Peteroa,Stratovolcano(es),2019,Chile,South America,Central Chile and Argentina,-35.223,-70.568,3977,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,6,48,1345,634959
341090,Popocatepetl,Stratovolcano(es),2021,Mexico,MŽxico and Central America,Mexico,19.023,-98.622,5393,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Ê,Ê,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Ê,325,2584,634054,26509510
357150,Puyehue-Cordon Caulle,Stratovolcano,2012,Chile,South America,Central Chile and Argentina,-40.59,-72.117,2236,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,129,783,7163,515357
252140,Rabaul,Pyroclastic shield,2014,Papua New Guinea,Melanesia and Australia,New Britain,-4.271,152.203,688,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Rhyolite,Ê,Ê,Ê,Ê,3311,43531,199361,252121
